filename,neuron,trial_number,layer,kernel_size,epoch_number,test_acc_original,test_loss_original,test_acc_inverted,test_loss_inverted
./results/neurons_n512_t2.json,512,2,,1,4,0.9776999950408931,5.273672580718994,0.9466000199317931,5.308616638183594
./results/neurons_n64.json,64,1,,1,4,0.9620000123977661,3.313564777374267,0.8865000009536741,3.339542865753174
./results/neurons_n10_t2.json,10,2,,1,4,0.59960001707077,1.8126587867736812,0.586600005626678,1.83738362789154
./results/neurons_n128_t2.json,128,2,,1,4,0.976899981498718,3.8998324871063232,0.936500012874603,3.9441676139831543
./results/neurons_n32.json,32,1,,1,4,0.8805999755859371,2.645041465759277,0.8712999820709221,2.652518272399902
./results/neurons_n10_t3.json,10,3,,1,4,0.503400027751922,1.886874437332153,0.48600000143051103,1.9155570268630981
./results/neurons_n256_t2.json,256,2,,1,4,0.9761000275611871,4.585777759552002,0.941200017929077,4.623867034912109
./results/neurons_n32_t2.json,32,2,,1,4,0.9754999876022331,2.551855087280273,0.9539999961853021,2.576622247695923
./results/neurons_n512.json,512,1,,1,4,0.9740999937057491,5.277403354644775,0.9376000165939331,5.317168712615967
./results/neurons_n10.json,10,1,,1,4,0.30930000543594305,2.131315231323242,0.30970001220703103,2.130277633666992
./results/neurons_n32_t3.json,32,3,,1,4,0.9733999967575071,2.551883935928344,0.9617999792098991,2.566691398620605
./results/neurons_n256.json,256,1,,1,4,0.9753999710083001,4.58768892288208,0.9394999742507931,4.63027811050415
./results/neurons_n128.json,128,1,,1,4,0.9756000041961671,3.899898529052734,0.9430000185966491,3.939285039901733
./results/neurons_n64_t2.json,64,2,,1,4,0.8804000020027161,3.311815738677978,0.8148999810218811,3.386085271835327
