filename,neuron,trial_number,layer,kernel_size,epoch_number,test_acc_original,test_loss_original,test_acc_inverted,test_loss_inverted
./results/_kernel_size_k2_l1_n100_t3.json,100,3,1,2,2,0.9782999753952021,3.657374143600464,0.8065000176429741,3.834151268005371
./results/_kernel_size_k5_l1_n100_t2.json,100,2,1,5,2,0.8847000002861021,3.750383615493774,0.714100003242492,3.9288876056671143
./results/_kernel_size_k3_l1_n100_t4.json,100,4,1,3,2,0.963699996471405,3.672903537750244,0.9218999743461601,3.717668056488037
./results/_kernel_size_k2_l1_n100_t2.json,100,2,1,2,2,0.97020000219345,3.664682388305664,0.813799977302551,3.824101448059082
./results/_kernel_size_k5_l1_n100_t3.json,100,3,1,5,2,0.972100019454956,3.661507129669189,0.813799977302551,3.830382823944092
./results/_kernel_size_k7_l1_n100_t1.json,100,1,1,7,2,0.878700017929077,3.75620150566101,0.600499987602233,4.066909313201904
./results/_kernel_size_k4_l1_n100_t3.json,100,3,1,4,2,0.9783999919891351,3.653803825378418,0.6996999979019161,3.932624101638794
./results/_kernel_size_k3_l1_n100_t2.json,100,2,1,3,2,0.97079998254776,3.666363000869751,0.8931000232696531,3.749264001846313
./results/_kernel_size_k4_l1_n100_t2.json,100,2,1,4,2,0.9775999784469601,3.656371593475342,0.890100002288818,3.761609315872192
./results/_kernel_size_k3_l1_n100_t3.json,100,3,1,3,2,0.8815000057220451,3.7517831325531,0.867399990558624,3.768456935882568
./results/_kernel_size_k4_l1_n100_t1.json,100,1,1,4,2,0.9706000089645381,3.665151596069336,0.753400027751922,3.887804985046386
./results/_kernel_size_k3_l1_n100_t1.json,100,1,1,3,2,0.9706000089645381,3.663470983505249,0.9180999994277951,3.722006320953369
./results/_kernel_size_k2_l1_n100_t1.json,100,1,1,2,2,0.9689999818801881,3.664385557174682,0.8935999870300291,3.749062538146972
./results/_kernel_size_k7_l1_n100_t2.json,100,2,1,7,2,0.9714999794960021,3.666916370391845,0.6190999746322631,4.037431240081787
./results/_kernel_size_k7_l1_n100_t3.json,100,3,1,7,2,0.9714000225067131,3.660181999206543,0.6430000066757201,4.002918720245361
./results/_kernel_size_k5_l1_n100_t1.json,100,1,1,5,2,0.9753000140190121,3.659765720367431,0.800599992275238,3.838848114013672
